country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Malaysia,,,,,,,8.7,,,,,,,33,,,,,,,,,,,51.4,,,48.3,,,,,,55.1,,,,,,,,,,49,,,,,,,,,,52.2,,,,,,,,42.8,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,28.9,,,,,,,,43.7,,,,,,,55.1,,,,,,56.1,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,8.2,,14,,,,,,11.2,,,,,,13.9,,,14.7,17,11.1,,,,11,14.6,15.3,
Nigeria,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,6,,,,,,,,,15.2,,,,12.6,,,,14.7,14.6,,,17.5,13.5,15.1,,,22.1,13.4,16.6,,,21.6,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,48.7,,,,,60.3,,,68.6,,,,,,72.4,,,,,80.4,,,,,,,,,,,,
Netherlands,,,,,,,,,59,,,,,,75,,,,,,,76.8,,,,,,76.3,,,,,78.5,,,,,75,,,,,75,,,,,75,,,,,73,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,2.4,,,,,6.8,,,,,15.1,,,,,,24.1,,,,28.5,,,,37.3,39.3,,,38.3,,48,,,,,49.7,,,49.6,,52.6,,,46.7,,,57.2,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,70.1,,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,23.7,,,,,31.7,,,,,,,,24.4,,,,,,29.7,,,,,,,,,,
Pakistan,,,,,,,,,5.5,,,,,,5.4,,,,,3.3,,,,,9.1,,,,,,11.8,,21.9,,17.8,13,23.9,,17,,27.6,,32.1,,,26,29.6,27,,,,29,35.4,32,,,,34.2,34,,,,,
Panama,,,,,,,,,,,,,,,,53.9,,,60.6,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,62.8,,50.8,,,,,,,,,
Peru,,,,,,,,,,26,,,,,,,,31.4,,,41,,,,,45.8,,,,,,59,,,,64.2,,,,68.9,,,,,,71.3,,72.4,73.2,74.4,75.4,75.5,74,74.6,74.6,76.2,75.4,76.3,75.9,77.4,78.1,78,77.3,
Philippines,,,,,,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,40,,50.7,48.1,47,47.8,49.3,47,49.5,48.8,48.9,49.3,49.3,50.6,,50.7,,,48.9,,55.1,,,,54.3,,,,,58.3,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,,,,,,32.4,,,,,,,,,,,,36.7,,,,,,
Poland,,,,,,,,,,,,60,,,,,75,,,,,,,,,,,,,,72.8,,,,,,,,,,,,,,,,,,,,50.5,,,63.2,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,,,,,67.3,,,,,68.6,,67.6,,69.1,,,,70.6,,,,78.2,,,70.2,,,,,,,
